已添加方块 41
rune_active_4 = 激活的慈悲符文
rune_active_5 = 激活的严格符文
rune_active_6 = 激活的美丽符文
rune_active_7 = 激活的胜利符文
rune_active_8 = 激活的光辉符文
rune_active_9 = 激活的基础符文
rune_active_10 = 激活的王国符文
photovoltaic_cell_vii = 光电池 VII
photovoltaic_cell_viii = 光电池 VIII
photovoltaic_cell_ix = 光电池 IX
photovoltaic_cell_x = 光电池 X
photovoltaic_cell_xi = 光电池 XI
photovoltaic_cell_xii = 光电池 XII
